team_turnovers,team_rebounds,team_offensive_rebounds,team_defensive_rebounds,bench_points,starter_points,biggest_lead,biggest_scoring_run,points,assists,rebounds,defensive_rebounds,offensive_rebounds,steals,blocks,blocks_received,turnovers,three_points_made,three_point_attempts,three_point_percentage,two_points_made,two_point_attempts,two_point_percentage,field_goals_made,field_goal_attempts,field_goal_percentage,contested_field_goals_made,contested_field_goal_attempts,uncontested_field_goals_made,uncontested_field_goal_attempts,jumpshots_made,jumpshot_attempts,dunks_made,dunk_attempts,layups_made,layup_attempts,offensive_fouls,defensive_fouls,personal_fouls,technical_fouls,unsportsmanlike_fouls,fouls_received,offensive_fouls_received,defensive_fouls_received,free_throws_made,free_throw_attempts,free_throw_percentage,fastbreak_points,fastbreak_attempts,turnover_points,points_in_the_paint,points_in_the_paint_made,points_in_the_paint_attempts,perimeter_points,perimeter_points_made,perimeter_point_attempts,second_chance_points,plus_minus,minutes_played,period,team_id,team_minutes,abbreviation,name,nickname,photo_url,home_away,game_no,schedule,venue
0,1,0,1,35,51,24,0,86,22,46,31,15,10,8,2,18,5,17,29.41,29,47,61.7,34,64,53.13,25,54,9,10,8,30,1,1,25,33,0,16,19,2,1,24,0,24,13,18,72.22,17,8,24,54,27,38,19,7,26,12,22,0,Total,6109d7cd-c824-4372-ab79-aea01b0f1a76,40,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,56,10/30/2019 16:00:00,MOA Arena
0,0,0,0,11,9,5,0,20,4,7,7,0,4,3,0,7,1,2,50,4,7,57.14,5,9,55.56,4,8,1,1,2,4,0,0,3,5,0,3,3,0,0,9,0,9,9,11,81.82,0,0,4,6,3,5,5,2,4,2,-1,0,1,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,56,10/30/2019 16:00:00,MOA Arena
0,1,0,1,11,14,16,0,25,6,13,10,3,2,4,1,3,1,4,25,11,15,73.33,12,19,63.16,9,16,3,3,2,8,1,1,9,10,0,3,4,0,1,3,0,3,0,0,0,11,5,8,20,10,12,5,2,7,4,14,0,2,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,56,10/30/2019 16:00:00,MOA Arena
0,0,0,0,3,17,22,0,20,4,13,9,4,3,1,0,4,1,3,33.33,7,13,53.85,8,16,50,7,15,1,1,2,8,0,0,6,8,0,4,4,0,0,7,0,7,3,5,60,2,1,7,14,7,10,3,1,6,4,8,0,3,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,56,10/30/2019 16:00:00,MOA Arena
0,0,0,0,10,11,24,0,21,8,13,5,8,1,0,1,4,2,8,25,7,12,58.33,9,20,45,5,15,4,5,2,10,0,0,7,10,0,6,8,2,0,5,0,5,1,2,50,4,2,5,14,7,11,6,2,9,2,1,0,4,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,56,10/30/2019 16:00:00,MOA Arena
2,1,0,1,32,32,3,0,64,12,38,14,24,7,2,8,21,5,19,26.32,19,53,35.85,24,72,33.33,19,65,5,7,8,32,1,2,15,38,0,24,24,0,0,17,0,17,11,20,55,7,2,13,36,18,51,17,6,21,19,-22,0,Total,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,40,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,away,56,10/30/2019 16:00:00,MOA Arena
0,0,0,0,11,10,2,0,21,5,9,4,5,3,0,3,5,3,5,60,5,14,35.71,8,19,42.11,8,18,0,1,5,10,0,1,3,8,0,9,9,0,0,3,0,3,2,3,66.67,0,0,9,8,4,13,11,4,6,7,1,0,1,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,away,56,10/30/2019 16:00:00,MOA Arena
1,0,0,0,6,5,3,0,11,1,8,3,5,1,1,4,6,1,8,12.5,3,11,27.27,4,19,21.05,3,18,1,1,1,12,0,0,3,7,0,3,3,0,0,4,0,4,2,3,66.67,3,1,4,6,3,11,3,1,8,4,-14,0,2,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,away,56,10/30/2019 16:00:00,MOA Arena
0,0,0,0,3,9,3,0,12,3,10,4,6,2,0,1,4,1,4,25,3,13,23.08,4,17,23.53,2,15,2,2,1,5,1,1,2,11,0,7,7,0,0,4,0,4,3,5,60,2,0,0,6,3,13,3,1,4,5,-8,0,3,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,away,56,10/30/2019 16:00:00,MOA Arena
1,1,0,1,12,8,3,0,20,3,11,3,8,1,1,0,6,0,2,0,8,15,53.33,8,17,47.06,6,14,2,3,1,5,0,0,7,12,0,5,5,0,0,6,0,6,4,9,44.44,2,1,0,16,8,14,0,0,3,3,-1,0,4,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,away,56,10/30/2019 16:00:00,MOA Arena
