game_no,team_id.x.team,home_away,opp_team,corner_three_made.team,corner_three_missed.team,elbow_two_made.team,elbow_two_missed.team,high_paint_made.team,high_paint_missed.team,low_paint_made.team,low_paint_missed.team,short_corner_two_made.team,short_corner_two_missed.team,top_key_three_made.team,top_key_three_missed.team,top_key_two_made.team,top_key_two_missed.team,wing_three_made.team,wing_three_missed.team,corner_three_attempts.team,wing_three_attempts.team,top_key_three_attempts.team,short_corner_two_attempts.team,elbow_two_attempts.team,top_key_two_attempts.team,high_paint_attempts.team,low_paint_attempts.team,perimeter_two_made.team,perimeter_two_missed.team,perimeter_two_attempts.team,paint_made.team,paint_attempts.team,perimeter_made.team,perimeter_attempts.team,team_id.x.opp,opp_team.opp,corner_three_made.opp,corner_three_missed.opp,elbow_two_made.opp,elbow_two_missed.opp,high_paint_made.opp,high_paint_missed.opp,low_paint_made.opp,low_paint_missed.opp,short_corner_two_made.opp,short_corner_two_missed.opp,top_key_three_made.opp,top_key_three_missed.opp,top_key_two_made.opp,top_key_two_missed.opp,wing_three_made.opp,wing_three_missed.opp,corner_three_attempts.opp,wing_three_attempts.opp,top_key_three_attempts.opp,short_corner_two_attempts.opp,elbow_two_attempts.opp,top_key_two_attempts.opp,high_paint_attempts.opp,low_paint_attempts.opp,perimeter_two_made.opp,perimeter_two_missed.opp,perimeter_two_attempts.opp,paint_made.opp,paint_attempts.opp,perimeter_made.opp,perimeter_attempts.opp
1,33671853-062b-48a2-9246-fe64b2a2a15c,away,home,1,3,0,0,6,7,18,17,2,2,0,3,0,2,3,6,4,9,3,4,0,2,13,35,2,4,6,24,48,6,22,98581eee-6023-484e-831c-c6db65f111ac,away,3,13,0,0,6,6,15,7,2,8,0,1,0,2,11,21,16,32,1,10,0,2,12,22,2,10,12,21,34,16,61
1,98581eee-6023-484e-831c-c6db65f111ac,home,away,3,13,0,0,6,6,15,7,2,8,0,1,0,2,11,21,16,32,1,10,0,2,12,22,2,10,12,21,34,16,61,33671853-062b-48a2-9246-fe64b2a2a15c,home,1,3,0,0,6,7,18,17,2,2,0,3,0,2,3,6,4,9,3,4,0,2,13,35,2,4,6,24,48,6,22
2,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,home,away,1,5,0,0,3,6,15,15,1,3,0,2,0,0,4,14,6,18,2,4,0,0,9,30,1,3,4,18,39,6,30,87c66828-7455-4d05-92b9-a85bebc97bd8,home,4,6,0,3,2,7,11,11,0,8,0,3,0,1,3,13,10,16,3,8,3,1,9,22,0,12,12,13,31,7,41
2,87c66828-7455-4d05-92b9-a85bebc97bd8,away,home,4,6,0,3,2,7,11,11,0,8,0,3,0,1,3,13,10,16,3,8,3,1,9,22,0,12,12,13,31,7,41,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,away,1,5,0,0,3,6,15,15,1,3,0,2,0,0,4,14,6,18,2,4,0,0,9,30,1,3,4,18,39,6,30
3,0cabf2f5-02db-40ac-9e2c-434238a30b03,away,home,2,4,0,0,2,5,12,16,3,5,1,2,0,1,2,12,6,14,3,8,0,1,7,28,3,6,9,14,35,8,32,6109d7cd-c824-4372-ab79-aea01b0f1a76,away,2,7,0,0,3,1,14,13,4,4,0,2,0,2,3,17,9,20,2,8,0,2,4,27,4,6,10,17,31,9,41
3,6109d7cd-c824-4372-ab79-aea01b0f1a76,home,away,2,7,0,0,3,1,14,13,4,4,0,2,0,2,3,17,9,20,2,8,0,2,4,27,4,6,10,17,31,9,41,0cabf2f5-02db-40ac-9e2c-434238a30b03,home,2,4,0,0,2,5,12,16,3,5,1,2,0,1,2,12,6,14,3,8,0,1,7,28,3,6,9,14,35,8,32
4,0cabf2f5-02db-40ac-9e2c-434238a30b03,home,away,2,4,0,0,4,4,19,19,3,11,1,3,1,0,2,9,6,11,4,14,0,1,8,38,4,11,15,23,46,9,36,12c6608e-af76-4e58-b428-8561b15bbc76,home,2,12,0,0,3,8,18,8,2,8,2,5,1,0,2,10,14,12,7,10,0,1,11,26,3,8,11,21,37,9,44
4,12c6608e-af76-4e58-b428-8561b15bbc76,away,home,2,12,0,0,3,8,18,8,2,8,2,5,1,0,2,10,14,12,7,10,0,1,11,26,3,8,11,21,37,9,44,0cabf2f5-02db-40ac-9e2c-434238a30b03,away,2,4,0,0,4,4,19,19,3,11,1,3,1,0,2,9,6,11,4,14,0,1,8,38,4,11,15,23,46,9,36
5,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,home,away,2,11,0,0,1,3,20,22,0,3,0,3,0,1,2,12,13,14,3,3,0,1,4,42,0,4,4,21,46,4,34,98581eee-6023-484e-831c-c6db65f111ac,home,7,5,0,1,4,8,13,3,5,6,0,3,3,2,2,11,12,13,3,11,1,5,12,16,8,9,17,17,28,17,45
5,98581eee-6023-484e-831c-c6db65f111ac,away,home,7,5,0,1,4,8,13,3,5,6,0,3,3,2,2,11,12,13,3,11,1,5,12,16,8,9,17,17,28,17,45,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,away,2,11,0,0,1,3,20,22,0,3,0,3,0,1,2,12,13,14,3,3,0,1,4,42,0,4,4,21,46,4,34
6,33671853-062b-48a2-9246-fe64b2a2a15c,home,away,3,6,1,0,4,3,9,11,1,4,0,8,0,2,2,10,9,12,8,5,1,2,7,20,2,6,8,13,27,7,37,87c66828-7455-4d05-92b9-a85bebc97bd8,home,6,7,0,0,3,5,14,5,3,5,3,2,0,3,2,10,13,12,5,8,0,3,8,19,3,8,11,17,27,14,41
6,87c66828-7455-4d05-92b9-a85bebc97bd8,away,home,6,7,0,0,3,5,14,5,3,5,3,2,0,3,2,10,13,12,5,8,0,3,8,19,3,8,11,17,27,14,41,33671853-062b-48a2-9246-fe64b2a2a15c,away,3,6,1,0,4,3,9,11,1,4,0,8,0,2,2,10,9,12,8,5,1,2,7,20,2,6,8,13,27,7,37
7,6109d7cd-c824-4372-ab79-aea01b0f1a76,away,home,4,8,0,1,2,3,14,16,6,7,0,5,1,4,1,14,12,15,5,13,1,5,5,30,7,12,19,16,35,12,51,87d50ca4-0c79-4ba3-83d5-18a06e52f061,away,4,8,0,1,2,6,15,13,3,10,0,1,2,1,3,10,12,13,1,13,1,3,8,28,5,12,17,17,36,12,43
7,87d50ca4-0c79-4ba3-83d5-18a06e52f061,home,away,4,8,0,1,2,6,15,13,3,10,0,1,2,1,3,10,12,13,1,13,1,3,8,28,5,12,17,17,36,12,43,6109d7cd-c824-4372-ab79-aea01b0f1a76,home,4,8,0,1,2,3,14,16,6,7,0,5,1,4,1,14,12,15,5,13,1,5,5,30,7,12,19,16,35,12,51
8,6109d7cd-c824-4372-ab79-aea01b0f1a76,home,away,3,3,0,0,1,2,16,11,1,4,0,6,0,1,7,19,6,26,6,5,0,1,3,27,1,5,6,17,30,11,44,98581eee-6023-484e-831c-c6db65f111ac,home,7,5,0,1,3,1,11,12,3,12,0,1,0,1,2,6,12,8,1,15,1,1,4,23,3,14,17,14,27,12,38
